Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
FIRST FINANCIAL CORPORATION,Director,Gregory L. Gibson,Director & Officer,"921 Ohio,LLC""""",2023,"President ReTec,Inc.""""",0.88%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Norman L. Lowery,Director,"Deep Vein Coal Company,Inc.""""",2023,n/a,0.41%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,CEO & President,Norman L. Lowery,n/a,n/a,2023,n/a,1.13%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Ronald K. Rich,n/a,n/a,2023,Retired,0.03%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Director,"Root Capital,Inc.""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Director,Root Company,2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Director,Root Real Estate Corp.,2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Director,"Tri-Square Realty,Inc.""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Director & VP,"Root Glass Co.,Inc.""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"RDT,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"D.M.V. Investments,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"Root Venture Partners,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"Root Select,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"Sister Carol Timber,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,William J. Voges,Officer,"SSRF Properties,LLC""""",2023,n/a,0.17%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Sr. Vice Pres. & CCO,Steven H. Holliday,n/a,n/a,2023,n/a,0.20%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Michael Carty,n/a,n/a,2023,Retired,0.00%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Paul J. Pierson,n/a,n/a,2023,Retired,0.08%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,"Autovest,LLC""""",2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,"Autovest II,LLC""""",2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,"Community Ford of Bloomington (Incl Kia,Mitsu""","Lincoln)"",2023""",Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,Community Ford of Mooresville,2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,Town & Country Chrysler (incl Nissan),2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,Valley Chevrolet,2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Thomas C. Martin,Officer,"Bloomington Interiors,LLC""""",2023,Automotive Management,0.07%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Tina Maher,Officer,Maher Law Office,2023,Retired,0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Tina Maher,Officer,Maher Farms,2023,Retired,0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Tina Maher,Officer,Thralls Avenue Water,2023,Retired,0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,James McDonald,Officer,n/a,2023,Attorney,0.05%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Richard Shagley,n/a,n/a,2023,Retired,0.10%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Mark J. Blade,n/a,n/a,2023,Business Development Representative,0.01%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Susan M. Jensen,n/a,n/a,2023,News Director/Anchor,0.01%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director Chief Lending Officer,Mark A Franklin,n/a,n/a,2023,n/a,0.05%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
"First La Grange Bancshares,Inc.""""",President/CEO,"Tracy Harris,Trustee of FBO National Bank & Trust ESOP""""",n/a,n/a,2023,n/a,100.00%,n/a,0.22%,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Chairman of the Board,"Mike Corker,Trust Officer of FBO National Bank & Trust ESOP""""",Partner,Hart Co Realty Inc,2023,Partner,100.00%,n/a,0.69%,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Virtual CFO,Barb Zipperian,n/a,n/a,2023,Consultant,n/a,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Controller,Julie Ditta,n/a,n/a,2023,n/a,n/a,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Chairman of the Board,Michael Corker,Partner,Hart Land Real Estate,2023,Partner,0.69%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Director,Mary Gunn,Partner,"Giese & Gunn,LLP""""",2023,Partner,0.01%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Director,Gary Nitsche,n/a,n/a,2023,n/a,0.35%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Advisory Director,Jahvid Motaghi,n/a,n/a,2023,Partner,1.78%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Director,Chris Mayer,Trust Shareholder,"Consolidated Farms,Inc.""""",2023,Lawyer,0.01%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",Director,Marc Fitzpatrick,n/a,n/a,2023,Owner,0.06%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First La Grange Bancshares,Inc.""""",President/CEO,Tracy Harris,n/a,n/a,2023,n/a,0.22%,n/a,n/a,"First La Grange Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"First LeRoy Bancorporation, Inc._Y-6_2023-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"First LeRoy Bancorporation, Inc._Y-6_2024-12-31T00_00_00_English",none
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",SECRETARY,LISA HART-FREGIA,AVP,FIRST LIBERTY BANK,2023,BANKER,0.00%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,LISA FLEETWOOD,DIRECTOR,FIRST LIBERTY BANK,2023,INVESTMENTS,14.55%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,MATTHEW HARRIS,DIRECTOR,FIRST LIBERTY BANK,2023,CONTRACTOR,0.89%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,GUY L. HARRIS,DIRECTOR,FIRST LIBERTY BANK,2023,RETIRED-BLDG MATERIALS,0.89%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",Principal Securities Holder,MARY C. HAYWOOD,NONE,n/a,2023,INVESTMENTS,14.55%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",Principal Securities Holder,DAVID HAYWOOD,NONE,n/a,2023,INVESTMENTS,0.44%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,PAUL HENRY,DIRECTOR,FIRST LIBERTY BANK,2023,RETIRED - BANKER,1.36%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,JOAN JEFFREY,DIRECTOR,FIRST LIBERTY BANK,2023,FARMING & INVESTMENTS,0.44%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",CHRMN & DIRECTOR,CHARLES L. MCGUIRE,CHAIRMAN & DIRECTOR,FIRST LIBERTY BANK,2023,C.P.A. & ATTORNEY,8.56%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,"D. MAYES MIDDLETON,II""""",DIRECTOR,FIRST LIBERTY BANK,2023,ATTORNEY,8.85%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,EDGAR R. NORWOOD,DIRECTOR,FIRST LIBERTY BANK,2023,ATTORNEY,1.87%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,EDWARD PICKETT,DIRECTOR,FIRST LIBERTY BANK,2023,ATTORNEY,2.54%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",PRESIDENT & CEO & DIRECTOR,KELLY D. STRETCHER,PRESIDENT & CEO & DIRECTOR,FIRST LIBERTY BANK,2023,BANKER,1.13%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",TREASURER & ADVISORY DIRECTOR,JERRY URSPRUNG,EXEC. V.P. - CFO & CASHIER,FIRST LIBERTY BANK,2023,BANKER,0.24%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"FIRST LIBERTY NATIONAL BANCSHARES,INC.""""",DIRECTOR,CHARLES R WIGGINS,CHRM EMERITUS & DIRECTOR,FIRST LIBERTY BANK,2023,RETIRED - BANKING,7.63%,n/a,n/a,"First Liberty National Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
FIRST NATIONAL BANK CORP.,Shareholder/Director,Jane E. Ernst,n/a,None,2023,Retired,21.24%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder/Director,Robert A. Steele,Owner,Robert Steele Agency,2023,Self Employed Insurance,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Vice Chairman/Director,Kerry N. Prather,President,Franklin College,2023,President of Franklin College,0.59%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,President and CEO/Director,Gary L. Neese,n/a,W.I.N,2023,President of First National Bank,0.62%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Director,Michael T. Lewis,n/a,None,2023,COO of First National Bank,0.19%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Executive VP,Jana M. Pettit,n/a,None,2023,Executive VP of First National Bank,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder/Director,Keith M. Ernst Estate,n/a,n/a,2023,N/A,28.77%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Ernst Family,n/a,n/a,2023,Director of Teacher Education Franklin College,2.95%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Cynthia E. Prather,n/a,Franklin College,2023,Director of Teacher Education Franklin College,0.23%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Cynthia E. Prather IRA,n/a,n/a,2023,Franklin College,n/a,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Katherine Gillaspy,n/a,n/a,2023,Teacher,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Sarah Johnson,n/a,n/a,2023,Event Planner,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Jenna Marie Lanham,n/a,n/a,2023,Teacher,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Katrina Ann Lewis,n/a,n/a,2023,Child Care,3.42%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Katrina Ann Lewis IRA,n/a,n/a,2023,Child Care,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Director,Michael Todd Lewis IRA,n/a,None,2023,COO of First National Bank,0.23%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Robert K. Prather-Cynthia Sue Prather Custodian UGMA,n/a,n/a,2023,Attorney,0.06%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Patten Family,n/a,n/a,2023,Bus Driver/Maintenance,5.98%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Kevin M. Patten,n/a,n/a,2023,n/a,n/a,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Aaron M. Patten,n/a,n/a,2023,Agriculture Sales,1.60%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Joyce C. Patten,n/a,n/a,2023,Retired,0.40%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Kyle D. Patten,n/a,n/a,2023,Logistics Manager,0.52%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Matthew C. Patten,n/a,n/a,2023,Industrial Engineer,1.60%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Pattie J. Patten,n/a,n/a,2023,Retired,4.08%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
FIRST NATIONAL BANK CORP.,Shareholder,Travis Wade Patten,n/a,n/a,2023,Unknown,0.52%,1206050,n/a,First National Bank Corp._Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,CEO,Samuel R. Small,n/a,n/a,2023,Banking,14.72%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Chairman of the Board/CEO/General Counsel/President/Director,"Samuel R. Small,Jr.""""",n/a,n/a,2023,Banking,3.83%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,SVP/Corporate Secretary/Director,"Steve G. Williams,Jr.""""",President,John T Stevens Foundation,2023,Banking,3.24%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,SVP/CFO/Treasurer,"Thomas C. Anderson,Jr.""""",n/a,n/a,2023,Banking,.59%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Director,Will Johnson,n/a,HSB Law Firm,2023,Attorney,.79%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Director,M. Lauren Tucker,Director,Tucker Down East Resources,2023,GM,5.59%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Director,H. Gibson Tucker,Director,n/a,2023,Banking,5.77%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Director,Susan S. Grumbach,Director,n/a,2023,Nurse Practitioner,.59%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
First Palmetto Financial Corporation,Director,"Henry D. Green,III""""",Director,n/a,2023,CPA,5.2%,n/a,n/a,First Palmetto Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
"First Region Bancshares,Inc.""""","Executive Chairman,Chairman of the Board""",Director,Executive Chairman,Chairman of the Board,"Director"",George W. McCall""",Vice President,E. Morgan Farms,2023,N/A,"First Region Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Region Bancshares,Inc.""""","Executive Chairman,Chairman of the Board""",Director,Executive Chairman,Chairman of the Board,"Director"",George W. McCall""",Manager,Hiram Farms,2023,N/A,"First Region Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Region Bancshares,Inc.""""","Director/Vice Chairman,Director/Vice Chairman""""",A. G. Brewster,n/a,n/a,2023,Retired Businessman,Less than 1%,n/a,n/a,"First Region Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Region Bancshares,Inc.""""",Director,John D. Jessee,n/a,n/a,2023,Vice Pres./CFO,Less than 1%,n/a,n/a,"First Region Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
